Questions,CoarseType,FineType,WhWord
नेपाली क्रिकेट टिम क्याप्टेनमा ज्ञानेन्द्र मल्ल कहिले नियुक्त भए ?,temporal,date,कहिले
फ्रान्सको लियोनमा सम्पन्न महिला विश्वकप फुटबल २०१९ प्रतियोगिताको उपाधि कसले प्राप्त गर्यो ?,location,country,कसले
विश्व शान्ति सूचांक २०१९ अनुसार नेपाल कति औ स्थानमा रहेको छ ?,numerical,rank,कति
"एक फलफूलको बोट रु दशको नोट"" कार्यक्रमको सुरुवात कुन जिल्लाको स्थानीय तहमा भएको थियो ?",location,city,कुन
माथिल्लो त्रिशुली थ्री 'ए' जलविधुत आयोजनाको विधुत राष्ट्रिय प्रसारण प्रणालीमा कहिले जोडिएको हो ?,temporal,date,कहिले
अर्थमन्त्री युवराज खतिवडाले वि.स. २०७६ जेठ १५ मा संघिय संसदको संयुक्त बैठकमा प्रस्तुत आ.व. २०७६/७७ को बजेटको राशि कति रहेको छ ?,numerical,money,कति
विश्वका ८ हजार मिटर भन्दा अग्ला १४ ओटै हिमाल आरोहण गर्ने प्रथम नेपाली को हुन् ?,person,individual,को
अमेरिकाले आफ्ना नागरिकलाई क्युवाको भ्रमणका लागि कहिले देखि प्रतिबन्ध लगाएको हो ?,temporal,date,कहिले
"नेपाल राष्ट्र बैंकले नेपालि भाषामा पनि ATM चलाउन मिल्ने गरि व्यबस्था मिलाउन कहिले निर्देशन दिएको
हो ?",temporal,date,कहिले
नेपालमा पर्यटन सुचना केन्द्रको स्थापना कहिले गरिएको हो ?,temporal,date,कहिले
प्रथम आर्थिक गणनाको नतिजा कहिले सार्वजनिक गरियो ?,temporal,date,कहिले
डुईङ विजनेश अवार्ड - २०१९ अनुसार नेपाल कति औ स्थानमा छ ?,numerical,rank,कति
सरकारले कुन दिनलाई राष्ट्रिय वृक्षारोपण दिवसका रुपमा मनाउने निर्णय गरेको हो ?,temporal,day,कुन
ब्राजिलमा आयोजित कोपा अमेरिका फुटबल - २०१९ को उपाधि कसले जित्यो ?,location,country,कसले
व्यावसायिक कफी खेति सर्वेक्षण २०७५ अन्सार कफी उत्पादनमा नेपालको पहिलो जिल्ला कुन हो ?,location,district,कुन
श्रीलंकामा आयोजित 'सार्क फिल्म फेस्टिवल २०१९ मा 'पर्फर्मर अवार्ड जित्ने नेपालि अभिनेत्री को हुन् ?,person,individual,को
प्रदेश खेलकुद विकाश परिषद गठन गर्ने पहिलो प्रदेश कुन हो ?,location,state,कुन
नेपाल र युएई बीच परिमार्जित श्रम सम्झौतामा हस्ताक्षर कहिले भएको हो ?,temporal,date,कहिले
भूगर्भशास्त्री टोनी हेगनको सम्झनामा नेपालको कुन ठाउँमा भ्युटावर सहित पार्क निर्माण गरिएको छ ?,location,city,कुन
भुपयोग ऐन - २०७६ कहिले देखि लागु भएको हो ?,temporal,date,कहिले
बेलायतका प्रधानमन्त्री बोसिन जोन्सनले संसद निलम्बनको घोषणा कहिले गर्नुभयो ?,temporal,date,कहिले
